,Date,Time,Tel,Confirmations
0,20200101,0006,c3,0
1,20200101,0018,c3,0
2,20200101,0030,c3,0
3,20200101,0042,c3,0
4,20200101,0054,c3,0
5,20200101,0130,c3,0
6,20200101,0142,c3,0
7,20200101,0154,c3,0
8,20200101,0206,c3,0
9,20200101,0218,c3,0
10,20200101,0230,c3,0
11,20200101,0242,c3,0
12,20200101,0306,c3,0
13,20200101,0318,c3,0
14,20200101,0330,c3,0
15,20200101,0342,c3,0
16,20200101,0354,c3,0
17,20200101,0406,c3,0
18,20200101,0418,c3,0
19,20200101,0430,c3,0
20,20200101,0442,c3,0
21,20200101,0454,c3,0
22,20200101,0506,c3,0
23,20200101,0518,c3,0
24,20200101,0530,c3,0
25,20200101,0542,c3,0
26,20200101,0554,c3,0
27,20200101,0606,c3,0
28,20200101,0618,c3,0
29,20200101,0630,c3,0
30,20200101,0642,c3,0
31,20200101,0654,c3,0
32,20200101,0706,c3,0
33,20200101,0742,c3,0
34,20200101,0754,c3,0
35,20200101,0806,c3,0
36,20200101,0818,c3,0
37,20200101,0830,c3,0
38,20200101,0842,c3,0
39,20200101,0906,c3,0
40,20200101,0918,c3,0
41,20200101,0930,c3,0
42,20200101,0942,c3,0
43,20200101,0954,c3,0
44,20200101,1006,c3,0
45,20200101,1018,c3,0
46,20200101,1030,c3,0
47,20200101,1042,c3,0
48,20200101,1054,c3,0
49,20200101,1106,c3,0
50,20200101,1118,c3,0
51,20200101,1130,c3,0
52,20200101,1142,c3,0
53,20200101,1154,c3,0
54,20200101,1206,c3,0
55,20200101,1218,c3,0
56,20200101,1230,c3,0
57,20200101,1242,c3,0
58,20200101,1254,c3,0
59,20200101,1330,c3,0
60,20200101,1342,c3,0
61,20200101,1354,c3,0
62,20200101,1406,c3,0
63,20200101,1418,c3,0
64,20200101,1430,c3,0
65,20200101,1442,c3,0
66,20200101,1510,c3,0
67,20200101,1521,c3,0
68,20200101,1531,c3,0
69,20200101,1542,c3,0
70,20200101,1554,c3,0
71,20200101,1606,c3,0
72,20200101,1618,c3,0
73,20200101,1630,c3,0
74,20200101,1642,c3,0
75,20200101,1654,c3,0
76,20200101,1706,c3,0
77,20200101,1718,c3,0
78,20200101,1730,c3,0
79,20200101,1742,c3,0
80,20200101,1754,c3,0
81,20200101,1806,c3,0
82,20200101,1818,c3,0
83,20200101,1830,c3,0
84,20200101,1842,c3,0
85,20200101,1854,c3,0
86,20200101,1906,c3,0
87,20200101,1918,c3,0
88,20200101,1930,c3,0
89,20200101,1942,c3,0
90,20200101,1954,c3,0
91,20200101,2006,c3,0
92,20200101,2018,c3,0
93,20200101,2030,c3,0
94,20200101,2118,c3,0
95,20200101,2130,c3,0
96,20200101,2142,c3,0
97,20200101,2154,c3,0
98,20200101,2206,c3,0
99,20200101,2218,c3,0
100,20200101,2230,c3,0
101,20200101,2306,c3,0
102,20200101,2318,c3,0
103,20200101,2330,c3,0
104,20200101,2342,c3,0
105,20200101,2354,c3,0
106,20200102,0006,c3,0
107,20200102,0018,c3,0
108,20200102,0030,c3,0
109,20200102,0042,c3,0
110,20200102,0054,c3,0
111,20200102,0130,c3,0
112,20200102,0142,c3,0
113,20200102,0154,c3,0
114,20200102,0206,c3,0
115,20200102,0218,c3,0
116,20200102,0230,c3,0
117,20200102,0242,c3,0
118,20200102,0306,c3,0
119,20200102,0318,c3,0
120,20200102,0330,c3,0
121,20200102,0342,c3,0
122,20200102,0354,c3,0
123,20200102,0406,c3,0
124,20200102,0418,c3,0
125,20200102,0430,c3,0
126,20200102,0442,c3,0
127,20200102,0454,c3,0
128,20200102,0506,c3,0
129,20200102,0518,c3,0
130,20200102,0530,c3,0
131,20200102,0542,c3,0
132,20200102,0554,c3,0
133,20200102,0606,c3,0
134,20200102,0618,c3,0
135,20200102,0630,c3,0
136,20200102,0642,c3,0
137,20200102,0654,c3,0
138,20200102,0706,c3,0
139,20200102,0730,c3,0
140,20200102,0742,c3,0
141,20200102,0754,c3,0
142,20200102,0806,c3,0
143,20200102,0818,c3,0
144,20200102,0830,c3,0
145,20200102,0842,c3,0
146,20200102,0906,c3,0
147,20200102,0918,c3,0
148,20200102,0930,c3,0
149,20200102,0942,c3,0
150,20200102,0954,c3,0
151,20200102,1006,c3,0
152,20200102,1018,c3,0
153,20200102,1030,c3,0
154,20200102,1042,c3,0
155,20200102,1054,c3,0
156,20200102,1106,c3,0
157,20200102,1118,c3,0
158,20200102,1130,c3,0
159,20200102,1142,c3,0
160,20200102,1154,c3,0
161,20200102,1206,c3,0
162,20200102,1218,c3,0
163,20200102,1230,c3,0
164,20200102,1242,c3,0
165,20200102,1254,c3,0
166,20200102,1330,c3,0
167,20200102,1342,c3,0
168,20200102,1354,c3,0
169,20200102,1406,c3,0
170,20200102,1418,c3,0
171,20200102,1430,c3,0
172,20200102,1442,c3,0
173,20200102,1506,c3,0
174,20200102,1518,c3,0
175,20200102,1530,c3,0
176,20200102,1542,c3,0
177,20200102,1606,c3,0
178,20200102,1618,c3,0
179,20200102,1630,c3,0
180,20200102,1642,c3,0
181,20200102,1654,c3,0
182,20200102,1706,c3,0
183,20200102,1718,c3,0
184,20200102,1730,c3,0
185,20200102,1742,c3,0
186,20200102,1754,c3,0
187,20200102,1806,c3,0
188,20200102,1818,c3,0
189,20200102,1830,c3,0
190,20200102,1842,c3,0
191,20200102,1854,c3,0
192,20200102,1918,c3,0
193,20200102,1930,c3,0
194,20200102,1942,c3,0
195,20200102,1954,c3,0
196,20200102,2006,c3,0
197,20200102,2018,c3,0
198,20200102,2030,c3,0
199,20200102,2118,c3,0
200,20200102,2130,c3,0
201,20200102,2142,c3,0
202,20200102,2154,c3,0
203,20200102,2206,c3,0
204,20200102,2218,c3,0
205,20200102,2230,c3,0
206,20200102,2306,c3,0
207,20200102,2318,c3,0
208,20200102,2330,c3,0
209,20200102,2342,c3,0
210,20200102,2354,c3,0
211,20200103,0006,c3,0
212,20200103,0018,c3,0
213,20200103,0030,c3,0
214,20200103,0042,c3,0
215,20200103,0054,c3,0
216,20200103,0130,c3,0
217,20200103,0142,c3,0
218,20200103,0154,c3,0
219,20200103,0218,c3,0
220,20200103,0230,c3,0
221,20200103,0242,c3,0
222,20200103,0306,c3,0
223,20200103,0318,c3,0
224,20200103,0330,c3,0
225,20200103,0422,c3,0
226,20200103,0433,c3,0
227,20200103,0443,c3,0
228,20200103,0454,c3,0
229,20200103,0506,c3,0
230,20200103,0518,c3,0
231,20200103,0530,c3,0
232,20200103,0542,c3,0
233,20200103,0618,c3,0
234,20200103,0630,c3,0
235,20200103,0718,c3,0
236,20200103,0730,c3,0
237,20200103,0742,c3,0
238,20200103,0806,c3,0
239,20200103,0830,c3,0
240,20200103,0842,c3,0
241,20200103,0906,c3,0
242,20200103,0930,c3,0
243,20200103,0942,c3,0
244,20200103,0954,c3,0
245,20200103,1006,c3,0
246,20200103,1018,c3,0
247,20200103,1030,c3,0
248,20200103,1042,c3,0
249,20200103,1054,c3,0
250,20200103,1106,c3,0
251,20200103,1118,c3,0
252,20200103,1130,c3,0
253,20200103,1142,c3,0
254,20200103,1154,c3,0
255,20200103,1206,c3,0
256,20200103,1218,c3,0
257,20200103,1230,c3,0
258,20200103,1242,c3,0
259,20200103,1254,c3,0
260,20200103,1330,c3,0
261,20200103,1342,c3,0
262,20200103,1354,c3,0
263,20200103,1406,c3,0
264,20200103,1418,c3,0
265,20200103,1430,c3,0
266,20200103,1442,c3,0
267,20200103,1506,c3,0
268,20200103,1518,c3,0
269,20200103,1530,c3,0
270,20200103,1542,c3,0
271,20200103,1554,c3,0
272,20200103,1606,c3,0
273,20200103,1640,c3,0
274,20200103,1654,c3,0
275,20200103,1706,c3,0
276,20200103,1718,c3,0
277,20200103,1730,c3,0
278,20200103,1742,c3,0
279,20200103,1754,c3,0
280,20200103,1806,c3,0
281,20200103,1818,c3,0
282,20200103,1830,c3,0
283,20200103,1842,c3,0
284,20200103,1854,c3,0
285,20200103,1906,c3,0
286,20200103,1918,c3,0
287,20200103,1930,c3,0
288,20200103,1942,c3,0
289,20200103,1954,c3,0
290,20200103,2006,c3,0
291,20200103,2018,c3,0
292,20200103,2030,c3,0
293,20200103,2042,c3,0
294,20200103,2118,c3,0
295,20200103,2130,c3,0
296,20200103,2142,c3,0
297,20200103,2154,c3,0
298,20200103,2206,c3,0
299,20200103,2218,c3,0
300,20200103,2230,c3,0
301,20200103,2306,c3,0
302,20200103,2318,c3,0
303,20200103,2330,c3,0
304,20200103,2342,c3,0
305,20200103,2354,c3,0
306,20200104,0006,c3,0
307,20200104,0018,c3,0
308,20200104,0030,c3,0
309,20200104,0042,c3,0
310,20200104,0054,c3,0
311,20200104,0130,c3,0
312,20200104,0142,c3,0
313,20200104,0154,c3,0
314,20200104,0206,c3,0
315,20200104,0218,c3,0
316,20200104,0230,c3,0
317,20200104,0242,c3,0
318,20200104,0306,c3,0
319,20200104,0318,c3,0
320,20200104,0330,c3,0
321,20200104,0342,c3,0
322,20200104,0354,c3,0
323,20200104,0406,c3,0
324,20200104,0418,c3,0
325,20200104,0430,c3,0
326,20200104,0442,c3,0
327,20200104,0454,c3,0
328,20200104,0506,c3,0
329,20200104,0518,c3,0
330,20200104,0530,c3,0
331,20200104,0542,c3,0
332,20200104,0554,c3,0
333,20200104,0606,c3,0
334,20200104,0618,c3,0
335,20200104,0630,c3,0
336,20200104,0642,c3,0
337,20200104,0654,c3,0
338,20200104,0706,c3,0
339,20200104,0718,c3,0
340,20200104,0730,c3,0
341,20200104,0742,c3,0
342,20200104,0754,c3,0
343,20200104,0806,c3,0
344,20200104,0818,c3,0
345,20200104,0830,c3,0
346,20200104,0842,c3,0
347,20200104,0906,c3,0
348,20200104,0918,c3,0
349,20200104,0930,c3,0
350,20200104,0942,c3,0
351,20200104,0954,c3,0
352,20200104,1006,c3,0
353,20200104,1018,c3,0
354,20200104,1030,c3,0
355,20200104,1042,c3,0
356,20200104,1054,c3,0
357,20200104,1106,c3,0
358,20200104,1118,c3,0
359,20200104,1130,c3,0
360,20200104,1142,c3,0
361,20200104,1154,c3,0
362,20200104,1206,c3,0
363,20200104,1218,c3,0
364,20200104,1230,c3,0
365,20200104,1242,c3,0
366,20200104,1254,c3,0
367,20200104,1330,c3,0
368,20200104,1342,c3,0
369,20200104,1354,c3,0
370,20200104,1406,c3,0
371,20200104,1418,c3,0
372,20200104,1430,c3,0
373,20200104,1442,c3,0
374,20200104,1506,c3,0
375,20200104,1518,c3,0
376,20200104,1530,c3,0
377,20200104,1542,c3,0
378,20200104,1554,c3,0
379,20200104,1606,c3,0
380,20200104,1618,c3,0
381,20200104,1630,c3,0
382,20200104,1642,c3,0
383,20200104,1654,c3,0
384,20200104,1706,c3,0
385,20200104,1718,c3,0
386,20200104,1730,c3,0
387,20200104,1742,c3,0
388,20200104,1754,c3,0
389,20200104,1806,c3,0
390,20200104,1818,c3,0
391,20200104,1830,c3,0
392,20200104,1842,c3,0
393,20200104,1854,c3,0
394,20200104,1906,c3,0
395,20200104,1918,c3,0
396,20200104,1930,c3,0
397,20200104,1942,c3,0
398,20200104,1954,c3,0
399,20200104,2006,c3,0
400,20200104,2018,c3,0
401,20200104,2030,c3,0
402,20200104,2042,c3,0
403,20200104,2118,c3,0
404,20200104,2130,c3,0
405,20200104,2142,c3,0
406,20200104,2154,c3,0
407,20200104,2206,c3,0
408,20200104,2218,c3,0
409,20200104,2230,c3,0
410,20200104,2306,c3,0
411,20200104,2318,c3,0
412,20200104,2330,c3,0
413,20200104,2342,c3,0
414,20200104,2354,c3,0
415,20200105,0006,c3,0
416,20200105,0018,c3,0
417,20200105,0030,c3,0
418,20200105,0042,c3,0
419,20200105,0054,c3,0
420,20200105,0130,c3,0
421,20200105,0142,c3,0
422,20200105,0154,c3,0
423,20200105,0206,c3,0
424,20200105,0218,c3,0
425,20200105,0230,c3,0
426,20200105,0242,c3,0
427,20200105,0306,c3,0
428,20200105,0318,c3,0
429,20200105,0330,c3,0
430,20200105,0342,c3,0
431,20200105,0354,c3,0
432,20200105,0406,c3,0
433,20200105,0418,c3,0
434,20200105,0430,c3,0
435,20200105,0442,c3,0
436,20200105,0454,c3,0
437,20200105,0506,c3,0
438,20200105,0518,c3,0
439,20200105,0530,c3,0
440,20200105,0542,c3,0
441,20200105,0554,c3,0
442,20200105,0606,c3,0
443,20200105,0618,c3,0
444,20200105,0630,c3,0
445,20200105,0642,c3,0
446,20200105,0654,c3,0
447,20200105,0706,c3,0
448,20200105,0718,c3,0
449,20200105,0730,c3,0
450,20200105,0742,c3,0
451,20200105,0754,c3,0
452,20200105,0806,c3,0
453,20200105,0818,c3,0
454,20200105,0830,c3,0
455,20200105,0842,c3,0
456,20200105,0906,c3,0
457,20200105,0918,c3,0
458,20200105,0930,c3,0
459,20200105,0942,c3,0
460,20200105,0954,c3,0
461,20200105,1006,c3,0
462,20200105,1018,c3,0
463,20200105,1030,c3,0
464,20200105,1042,c3,0
465,20200105,1054,c3,0
466,20200105,1106,c3,0
467,20200105,1118,c3,0
468,20200105,1130,c3,0
469,20200105,1142,c3,0
470,20200105,1154,c3,0
471,20200105,1206,c3,0
472,20200105,1218,c3,0
473,20200105,1230,c3,0
474,20200105,1242,c3,0
475,20200105,1254,c3,0
476,20200105,1330,c3,0
477,20200105,1342,c3,0
478,20200105,1354,c3,0
479,20200105,1406,c3,0
480,20200105,1418,c3,0
481,20200105,1430,c3,0
482,20200105,1442,c3,0
483,20200105,1510,c3,0
484,20200105,1521,c3,0
485,20200105,1531,c3,0
486,20200105,1542,c3,0
487,20200105,1554,c3,0
488,20200105,1606,c3,0
489,20200105,1618,c3,0
490,20200105,1630,c3,0
491,20200105,1642,c3,0
492,20200105,1654,c3,0
493,20200105,1706,c3,0
494,20200105,1718,c3,0
495,20200105,1730,c3,0
496,20200105,1742,c3,0
497,20200105,1754,c3,0
498,20200105,1806,c3,0
499,20200105,1818,c3,0
500,20200105,1830,c3,0
501,20200105,1842,c3,0
502,20200105,1854,c3,0
503,20200105,1906,c3,0
504,20200105,1918,c3,0
505,20200105,1930,c3,0
506,20200105,1942,c3,0
507,20200105,1954,c3,0
508,20200105,2006,c3,0
509,20200105,2018,c3,0
510,20200105,2030,c3,0
511,20200105,2118,c3,0
512,20200105,2130,c3,0
513,20200105,2142,c3,0
514,20200105,2154,c3,0
515,20200105,2206,c3,0
516,20200105,2218,c3,0
517,20200105,2230,c3,0
518,20200105,2306,c3,0
519,20200105,2318,c3,0
520,20200105,2330,c3,0
521,20200105,2342,c3,0
522,20200105,2354,c3,0
523,20200106,0006,c3,0
524,20200106,0018,c3,0
525,20200106,0030,c3,0
526,20200106,0042,c3,0
527,20200106,0054,c3,0
528,20200106,0130,c3,0
529,20200106,0142,c3,0
530,20200106,0154,c3,0
531,20200106,0206,c3,0
532,20200106,0218,c3,0
533,20200106,0230,c3,0
534,20200106,0242,c3,0
535,20200106,0306,c3,0
536,20200106,0318,c3,0
537,20200106,0330,c3,0
538,20200106,0342,c3,0
539,20200106,0354,c3,0
540,20200106,0406,c3,0
541,20200106,0418,c3,0
542,20200106,0430,c3,0
543,20200106,0442,c3,0
544,20200106,0454,c3,0
545,20200106,0506,c3,0
546,20200106,0518,c3,0
547,20200106,0530,c3,0
548,20200106,0542,c3,0
549,20200106,0554,c3,0
550,20200106,0606,c3,0
551,20200106,0618,c3,0
552,20200106,0630,c3,0
553,20200106,0642,c3,0
554,20200106,0654,c3,0
555,20200106,0706,c3,0
556,20200106,0718,c3,0
557,20200106,0730,c3,0
558,20200106,0742,c3,0
559,20200106,0754,c3,0
560,20200106,0806,c3,0
561,20200106,0818,c3,0
562,20200106,0830,c3,0
563,20200106,0842,c3,0
564,20200106,0906,c3,0
565,20200106,0918,c3,0
566,20200106,0930,c3,0
567,20200106,0942,c3,0
568,20200106,0954,c3,0
569,20200106,1006,c3,0
570,20200106,1018,c3,0
571,20200106,1030,c3,0
572,20200106,1042,c3,0
573,20200106,1054,c3,0
574,20200106,1106,c3,0
575,20200106,1118,c3,0
576,20200106,1130,c3,0
577,20200106,1142,c3,0
578,20200106,1154,c3,0
579,20200106,1206,c3,0
580,20200106,1218,c3,0
581,20200106,1230,c3,0
582,20200106,1242,c3,0
583,20200106,1254,c3,0
584,20200106,1330,c3,0
585,20200106,1342,c3,0
586,20200106,1354,c3,0
587,20200106,1406,c3,0
588,20200106,1418,c3,0
589,20200106,1430,c3,0
590,20200106,1442,c3,0
591,20200106,1506,c3,0
592,20200106,1518,c3,0
593,20200106,1530,c3,0
594,20200106,1542,c3,0
595,20200106,1554,c3,0
596,20200106,1606,c3,0
597,20200106,1618,c3,0
598,20200106,1630,c3,0
599,20200106,1642,c3,0
600,20200106,1654,c3,0
601,20200106,1706,c3,0
602,20200106,1718,c3,0
603,20200106,1730,c3,0
604,20200106,1742,c3,0
605,20200106,1754,c3,0
606,20200106,1806,c3,0
607,20200106,1818,c3,0
608,20200106,1830,c3,0
609,20200106,1842,c3,0
610,20200106,1854,c3,0
611,20200106,1906,c3,0
612,20200106,1918,c3,0
613,20200106,1930,c3,0
614,20200106,1942,c3,0
615,20200106,1954,c3,0
616,20200106,2006,c3,0
617,20200106,2018,c3,0
618,20200106,2030,c3,0
619,20200106,2118,c3,0
620,20200106,2130,c3,0
621,20200106,2142,c3,0
622,20200106,2154,c3,0
623,20200106,2206,c3,0
624,20200106,2218,c3,0
625,20200106,2230,c3,0
626,20200106,2306,c3,0
627,20200106,2318,c3,0
628,20200106,2330,c3,0
629,20200106,2342,c3,0
630,20200106,2354,c3,0
631,20200107,0006,c3,0
632,20200107,0018,c3,0
633,20200107,0030,c3,0
634,20200107,0042,c3,0
635,20200107,0054,c3,0
636,20200107,0130,c3,0
637,20200107,0142,c3,0
638,20200107,0154,c3,0
639,20200107,0206,c3,0
640,20200107,0218,c3,0
641,20200107,0230,c3,0
642,20200107,0242,c3,0
643,20200107,0306,c3,0
644,20200107,0318,c3,0
645,20200107,0330,c3,0
646,20200107,0342,c3,0
647,20200107,0354,c3,0
648,20200107,0406,c3,0
649,20200107,0418,c3,0
650,20200107,0430,c3,0
651,20200107,0442,c3,0
652,20200107,0454,c3,0
653,20200107,0506,c3,0
654,20200107,0518,c3,0
655,20200107,0530,c3,0
656,20200107,0542,c3,0
657,20200107,0554,c3,0
658,20200107,0606,c3,0
659,20200107,0618,c3,0
660,20200107,0630,c3,0
661,20200107,0642,c3,0
662,20200107,0654,c3,0
663,20200107,0706,c3,0
664,20200107,0718,c3,0
665,20200107,0730,c3,0
666,20200107,0742,c3,0
667,20200107,0754,c3,0
668,20200107,0806,c3,0
669,20200107,0818,c3,0
670,20200107,0830,c3,0
671,20200107,0842,c3,0
672,20200107,0906,c3,0
673,20200107,0918,c3,0
674,20200107,0930,c3,0
675,20200107,0942,c3,0
676,20200107,0954,c3,0
677,20200107,1006,c3,0
678,20200107,1018,c3,0
679,20200107,1030,c3,0
680,20200107,1042,c3,0
681,20200107,1054,c3,0
682,20200107,1106,c3,0
683,20200107,1118,c3,0
684,20200107,1130,c3,0
685,20200107,1142,c3,0
686,20200107,1154,c3,0
687,20200107,1206,c3,0
688,20200107,1218,c3,0
689,20200107,1230,c3,0
690,20200107,1242,c3,0
691,20200107,1254,c3,0
692,20200107,1330,c3,0
693,20200107,1342,c3,0
694,20200107,1354,c3,0
695,20200107,1406,c3,0
696,20200107,1418,c3,0
697,20200107,1430,c3,0
698,20200107,1442,c3,0
699,20200107,1506,c3,0
700,20200107,1542,c3,0
701,20200107,1554,c3,0
702,20200107,1606,c3,0
703,20200107,1618,c3,0
704,20200107,1630,c3,0
705,20200107,1642,c3,0
706,20200107,1654,c3,0
707,20200107,1706,c3,0
708,20200107,1718,c3,0
709,20200107,1730,c3,0
710,20200107,1742,c3,0
711,20200107,1754,c3,0
712,20200107,1806,c3,0
713,20200107,1818,c3,0
714,20200107,1830,c3,0
715,20200107,1842,c3,0
716,20200107,1854,c3,0
717,20200107,1906,c3,0
718,20200107,1918,c3,0
719,20200107,1930,c3,0
720,20200107,1942,c3,0
721,20200107,1954,c3,0
722,20200107,2006,c3,0
723,20200107,2018,c3,0
724,20200107,2030,c3,0
725,20200107,2042,c3,0
726,20200107,2118,c3,0
727,20200107,2130,c3,0
728,20200107,2142,c3,0
729,20200107,2154,c3,0
730,20200107,2206,c3,0
731,20200107,2218,c3,0
732,20200107,2230,c3,0
733,20200107,2306,c3,0
734,20200107,2318,c3,0
735,20200107,2330,c3,0
736,20200107,2342,c3,0
737,20200107,2354,c3,0
738,20200108,0006,c3,0
739,20200108,0018,c3,0
740,20200108,0030,c3,0
741,20200108,0042,c3,0
742,20200108,0054,c3,0
743,20200108,0130,c3,0
744,20200108,0142,c3,0
745,20200108,0154,c3,0
746,20200108,0206,c3,0
747,20200108,0218,c3,0
748,20200108,0230,c3,0
749,20200108,0242,c3,0
750,20200108,0306,c3,0
751,20200108,0318,c3,0
752,20200108,0330,c3,0
753,20200108,0342,c3,0
754,20200108,0354,c3,0
755,20200108,0406,c3,0
756,20200108,0418,c3,0
757,20200108,0430,c3,0
758,20200108,0442,c3,0
759,20200108,0454,c3,0
760,20200108,0506,c3,0
761,20200108,0518,c3,0
762,20200108,0530,c3,0
763,20200108,0542,c3,0
764,20200108,0554,c3,0
765,20200108,0606,c3,0
766,20200108,0618,c3,0
767,20200108,0630,c3,0
768,20200108,0642,c3,0
769,20200108,0654,c3,0
770,20200108,0706,c3,0
771,20200108,0718,c3,0
772,20200108,0730,c3,0
773,20200108,0742,c3,0
774,20200108,0754,c3,0
775,20200108,0806,c3,0
776,20200108,0818,c3,0
777,20200108,0830,c3,0
778,20200108,0842,c3,0
779,20200108,0906,c3,0
780,20200108,0918,c3,0
781,20200108,0930,c3,0
782,20200108,0954,c3,0
783,20200108,1006,c3,0
784,20200108,1018,c3,0
785,20200108,1030,c3,0
786,20200108,1042,c3,0
787,20200108,1054,c3,0
788,20200108,1106,c3,0
789,20200108,1118,c3,0
790,20200108,1130,c3,0
791,20200108,1142,c3,0
792,20200108,1154,c3,0
793,20200108,1206,c3,0
794,20200108,1218,c3,0
795,20200108,1230,c3,0
796,20200108,1242,c3,0
797,20200108,1254,c3,0
798,20200108,1330,c3,0
799,20200108,1342,c3,0
800,20200108,1354,c3,0
801,20200108,1406,c3,0
802,20200108,1418,c3,0
803,20200108,1430,c3,0
804,20200108,1442,c3,0
805,20200108,1510,c3,0
806,20200108,1521,c3,0
807,20200108,1531,c3,0
808,20200108,1542,c3,0
809,20200108,1554,c3,0
810,20200108,1606,c3,0
811,20200108,1618,c3,0
812,20200108,1630,c3,0
813,20200108,1642,c3,0
814,20200108,1654,c3,0
815,20200108,1706,c3,0
816,20200108,1718,c3,0
817,20200108,1730,c3,0
818,20200108,1742,c3,0
819,20200108,1754,c3,0
820,20200108,1806,c3,0
821,20200108,1818,c3,0
822,20200108,1830,c3,0
823,20200108,1842,c3,0
824,20200108,1854,c3,0
825,20200108,1906,c3,0
826,20200108,1918,c3,0
827,20200108,1930,c3,0
828,20200108,1942,c3,0
829,20200108,1954,c3,0
830,20200108,2006,c3,0
831,20200108,2018,c3,0
832,20200108,2030,c3,0
833,20200108,2118,c3,0
834,20200108,2130,c3,0
835,20200108,2142,c3,0
836,20200108,2154,c3,0
837,20200108,2206,c3,0
838,20200108,2218,c3,0
839,20200108,2230,c3,0
840,20200108,2306,c3,0
841,20200108,2318,c3,0
842,20200108,2330,c3,0
843,20200108,2342,c3,0
844,20200108,2354,c3,0
845,20200109,0006,c3,0
846,20200109,0018,c3,0
847,20200109,0030,c3,0
848,20200109,0042,c3,0
849,20200109,0054,c3,0
850,20200109,0130,c3,0
851,20200109,0142,c3,0
852,20200109,0154,c3,0
853,20200109,0206,c3,0
854,20200109,0218,c3,0
855,20200109,0242,c3,0
856,20200109,0306,c3,0
857,20200109,0318,c3,0
858,20200109,0330,c3,0
859,20200109,0342,c3,0
860,20200109,0354,c3,0
861,20200109,0406,c3,0
862,20200109,0418,c3,0
863,20200109,0430,c3,0
864,20200109,0442,c3,0
865,20200109,0454,c3,0
866,20200109,0506,c3,0
867,20200109,0518,c3,0
868,20200109,0530,c3,0
869,20200109,0542,c3,0
870,20200109,0554,c3,0
871,20200109,0606,c3,0
872,20200109,0618,c3,0
873,20200109,0630,c3,0
874,20200109,0642,c3,0
875,20200109,0654,c3,0
876,20200109,0706,c3,0
877,20200109,0718,c3,0
878,20200109,0730,c3,0
879,20200109,0742,c3,0
880,20200109,0754,c3,0
881,20200109,0806,c3,0
882,20200109,0818,c3,0
883,20200109,0830,c3,0
884,20200109,0906,c3,0
885,20200109,0918,c3,0
886,20200109,0930,c3,0
887,20200109,0942,c3,0
